Time,Stock_ID,Volume,Open,High,Low,Close,Foreign_Net_Volume,Domestic_Net_Volume,Net_Margin
2016-01-04,6021,131.0,10.55,10.55,10.3,10.55,-3.0,0.0,-32.0
2016-01-05,6021,112.0,10.45,10.45,10.2,10.2,-1.0,0.0,-55.0
2016-01-06,6021,113.0,10.3,10.3,10.1,10.2,-10.0,0.0,-29.0
2016-01-07,6021,208.0,10.2,10.2,9.87,9.9,-9.0,0.0,-86.0
2016-01-08,6021,1147.0,9.9,10.15,9.85,10.05,63.0,0.0,55.0
2016-01-11,6021,138.0,10.05,10.05,9.76,9.8,-29.0,0.0,-38.0
2016-01-12,6021,229.0,9.78,9.83,9.42,9.42,-52.0,0.0,-5.0
2016-01-13,6021,165.0,9.51,9.55,9.43,9.43,-12.0,0.0,-13.0
2016-01-14,6021,98.0,9.32,9.39,9.21,9.21,-1.0,0.0,13.0
2016-01-15,6021,116.0,9.21,9.35,9.2,9.28,-8.0,0.0,-28.0
2016-01-18,6021,122.0,9.11,9.65,9.11,9.55,22.0,0.0,-15.0
2016-01-19,6021,102.0,9.55,9.65,9.3,9.6,5.0,0.0,42.0
2016-01-20,6021,92.0,9.5,9.52,9.15,9.22,-4.0,0.0,28.0
2016-01-21,6021,63.0,9.2,9.32,9.2,9.23,0.0,0.0,1.0
2016-01-22,6021,96.0,9.29,9.33,9.22,9.24,-13.0,0.0,9.0
2016-01-25,6021,106.0,9.39,9.45,9.26,9.34,0.0,0.0,19.0
2016-01-26,6021,71.0,9.27,9.27,9.15,9.19,1.0,0.0,-12.0
2016-01-27,6021,57.0,9.19,9.23,9.17,9.17,0.0,0.0,-5.0
2016-01-28,6021,115.0,9.1,9.3,9.1,9.22,-7.0,0.0,27.0
2016-01-29,6021,315.0,9.12,9.7,9.12,9.58,53.0,0.0,41.0
2016-01-30,6021,432.0,9.78,10.35,9.78,10.3,0.0,0.0,44.0
2016-02-01,6021,208.0,10.4,10.4,10.05,10.1,9.0,0.0,40.0
2016-02-02,6021,153.0,10.0,10.25,10.0,10.0,18.0,0.0,-6.0
2016-02-03,6021,248.0,9.91,10.1,9.81,9.81,-41.0,0.0,8.0
2016-02-15,6021,36.0,9.68,9.79,9.55,9.73,-2.0,0.0,-4.0
2016-02-16,6021,125.0,9.9,10.05,9.9,10.0,21.0,0.0,-28.0
2016-02-17,6021,77.0,10.1,10.1,9.88,9.95,13.0,0.0,-9.0
2016-02-18,6021,151.0,10.0,10.15,9.98,10.05,10.0,0.0,47.0
2016-02-19,6021,106.0,10.1,10.1,9.95,10.0,10.0,0.0,17.0
2016-02-22,6021,124.0,9.98,10.15,9.95,9.96,41.0,0.0,-21.0
2016-02-23,6021,84.0,10.1,10.15,9.95,9.96,7.0,0.0,1.0
2016-02-24,6021,39.0,9.96,10.05,9.84,9.9,-5.0,0.0,6.0
2016-02-25,6021,217.0,10.0,10.1,9.87,9.91,-3.0,0.0,44.0
2016-02-26,6021,82.0,9.94,9.94,9.85,9.93,7.0,0.0,-21.0
2016-03-01,6021,135.0,9.92,10.05,9.9,9.92,12.0,0.0,-30.0
2016-03-02,6021,610.0,10.2,10.8,10.15,10.4,59.0,0.0,76.0
2016-03-03,6021,607.0,10.6,10.75,10.45,10.5,15.0,0.0,51.0
2016-03-04,6021,428.0,10.5,10.7,10.4,10.7,47.0,0.0,-44.0
2016-03-07,6021,266.0,10.75,10.95,10.65,10.7,14.0,0.0,68.0
2016-03-08,6021,190.0,10.7,10.7,10.45,10.6,16.0,0.0,-51.0
2016-03-09,6021,289.0,10.55,10.65,10.35,10.55,20.0,0.0,-146.0
2016-03-10,6021,81.0,10.6,10.6,10.45,10.5,0.0,0.0,3.0
2016-03-11,6021,219.0,10.4,10.65,10.4,10.45,0.0,0.0,-33.0
2016-03-14,6021,213.0,10.65,10.7,10.55,10.55,0.0,0.0,18.0
2016-03-15,6021,223.0,10.6,10.6,10.25,10.25,2.0,0.0,-23.0
2016-03-16,6021,128.0,10.3,10.4,10.25,10.35,0.0,0.0,-5.0
2016-03-17,6021,665.0,10.55,10.95,10.45,10.45,-2.0,0.0,104.0
2016-03-18,6021,301.0,10.6,10.65,10.5,10.5,0.0,0.0,34.0
2016-03-21,6021,206.0,10.65,10.65,10.5,10.6,0.0,0.0,-70.0
2016-03-22,6021,712.0,10.6,10.75,10.0,10.2,0.0,0.0,33.0
2016-03-23,6021,511.0,10.2,10.2,10.0,10.05,6.0,0.0,117.0
2016-03-24,6021,526.0,10.05,10.05,9.8,9.86,-1.0,0.0,7.0
2016-03-25,6021,151.0,9.89,10.0,9.84,9.95,16.0,0.0,-7.0
2016-03-28,6021,110.0,9.9,10.0,9.9,9.96,36.0,0.0,-28.0
2016-03-29,6021,167.0,9.91,9.95,9.7,9.78,-16.0,0.0,-48.0
2016-03-30,6021,113.0,9.79,9.94,9.79,9.81,10.0,0.0,-13.0
2016-03-31,6021,89.0,9.9,9.99,9.83,9.9,5.0,0.0,-8.0
2016-04-01,6021,193.0,9.89,9.89,9.65,9.67,0.0,0.0,8.0
2016-04-06,6021,343.0,9.62,9.65,9.41,9.51,20.0,0.0,-32.0
2016-04-07,6021,195.0,9.52,9.52,9.35,9.49,8.0,0.0,-10.0
2016-04-08,6021,191.0,9.49,9.63,9.47,9.5,15.0,0.0,-18.0
2016-04-11,6021,420.0,9.45,9.45,9.2,9.25,-23.0,0.0,80.0
2016-04-12,6021,142.0,9.25,9.32,9.22,9.23,1.0,0.0,-5.0
2016-04-13,6021,431.0,9.27,9.75,9.27,9.42,73.0,0.0,152.0
2016-04-14,6021,310.0,9.48,9.6,9.42,9.42,-2.0,0.0,9.0
2016-04-15,6021,57.0,9.4,9.46,9.4,9.44,5.0,0.0,-10.0
2016-04-18,6021,30.0,9.4,9.44,9.4,9.4,1.0,0.0,-5.0
2016-04-19,6021,34.0,9.5,9.5,9.28,9.29,-1.0,0.0,-2.0
2016-04-20,6021,493.0,9.3,9.8,9.0,9.0,-62.0,0.0,-195.0
2016-04-21,6021,81.0,9.1,9.2,9.05,9.11,1.0,0.0,-1.0
2016-04-22,6021,96.0,9.11,9.19,9.05,9.05,10.0,0.0,-22.0
2016-04-25,6021,19.0,9.2,9.2,9.11,9.11,0.0,0.0,0.0
2016-04-26,6021,92.0,9.21,9.24,9.0,9.02,-11.0,0.0,-50.0
2016-04-27,6021,54.0,9.02,9.15,9.02,9.03,0.0,0.0,-30.0
2016-04-28,6021,122.0,9.03,9.08,8.95,8.95,0.0,0.0,-58.0
2016-04-29,6021,73.0,8.95,9.0,8.95,8.95,0.0,0.0,-10.0
2016-05-03,6021,78.0,8.95,9.0,8.92,9.0,0.0,0.0,-24.0
2016-05-04,6021,17.0,9.1,9.1,8.9,8.9,0.0,0.0,-12.0
2016-05-05,6021,39.0,9.0,9.0,8.81,8.81,0.0,0.0,3.0
2016-05-06,6021,20.0,9.0,9.0,8.85,8.85,0.0,0.0,5.0
2016-05-09,6021,116.0,8.85,8.85,7.97,8.55,0.0,0.0,-70.0
2016-05-10,6021,117.0,8.55,8.78,8.41,8.72,0.0,0.0,14.0
2016-05-11,6021,99.0,8.72,8.98,8.43,8.43,-2.0,0.0,-12.0
2016-05-12,6021,69.0,8.43,8.43,8.3,8.31,1.0,0.0,-17.0
2016-05-13,6021,89.0,8.54,8.54,8.06,8.11,1.0,0.0,-5.0
2016-05-16,6021,36.0,8.04,8.16,8.01,8.11,-1.0,0.0,1.0
2016-05-17,6021,68.0,8.11,8.29,8.11,8.29,-8.0,0.0,-22.0
2016-05-18,6021,20.0,8.16,8.29,8.15,8.27,0.0,0.0,-2.0
2016-05-19,6021,57.0,8.16,8.2,8.16,8.19,2.0,0.0,-15.0
2016-05-20,6021,48.0,8.35,8.35,8.2,8.2,5.0,0.0,-12.0
2016-05-23,6021,273.0,8.44,8.7,8.31,8.65,-18.0,0.0,-16.0
2016-05-24,6021,55.0,8.61,8.65,8.57,8.6,-4.0,0.0,3.0
2016-05-25,6021,318.0,8.69,9.18,8.69,8.93,-27.0,0.0,30.0
2016-05-26,6021,106.0,9.18,9.18,8.85,8.86,-7.0,0.0,15.0
2016-05-27,6021,148.0,8.84,8.91,8.84,8.85,-60.0,0.0,27.0
2016-05-30,6021,60.0,8.9,8.9,8.85,8.85,-15.0,0.0,23.0
2016-05-31,6021,144.0,8.85,9.0,8.85,9.0,6.0,0.0,-22.0
2016-06-01,6021,74.0,9.04,9.07,8.96,9.07,-10.0,0.0,-8.0
2016-06-02,6021,82.0,9.1,9.18,8.85,8.86,-4.0,0.0,-24.0
2016-06-03,6021,77.0,8.9,8.91,8.83,8.83,-7.0,0.0,-3.0
2016-06-04,6021,41.0,8.71,8.89,8.7,8.8,0.0,0.0,-23.0
2016-06-06,6021,77.0,8.8,8.8,8.64,8.64,-58.0,0.0,0.0
2016-06-07,6021,84.0,8.78,8.85,8.71,8.71,9.0,0.0,-18.0
2016-06-08,6021,84.0,8.74,8.94,8.74,8.89,0.0,0.0,2.0
2016-06-13,6021,81.0,8.65,8.71,8.6,8.6,-6.0,0.0,-8.0
2016-06-14,6021,86.0,8.6,8.6,8.51,8.55,-2.0,0.0,-44.0
2016-06-15,6021,46.0,8.64,8.64,8.52,8.57,-4.0,0.0,-10.0
2016-06-16,6021,86.0,8.53,8.64,8.46,8.46,-32.0,0.0,-9.0
2016-06-17,6021,55.0,8.64,8.64,8.48,8.5,-19.0,0.0,3.0
2016-06-20,6021,62.0,8.51,8.53,8.5,8.52,0.0,0.0,12.0
2016-06-21,6021,73.0,8.53,8.53,8.49,8.49,0.0,0.0,-28.0
2016-06-22,6021,72.0,8.49,8.55,8.49,8.5,0.0,0.0,-4.0
2016-06-23,6021,6.0,8.5,8.56,8.5,8.51,0.0,0.0,0.0
2016-06-24,6021,165.0,8.52,8.52,8.0,8.21,0.0,0.0,1.0
2016-06-27,6021,406.0,7.75,8.04,7.75,7.95,-32.0,0.0,40.0
2016-06-28,6021,104.0,7.9,8.05,7.9,8.0,-51.0,0.0,32.0
2016-06-29,6021,229.0,8.04,8.15,8.04,8.1,0.0,0.0,16.0
2016-06-30,6021,66.0,8.16,8.25,8.16,8.2,0.0,0.0,-40.0
2016-07-01,6021,307.0,8.3,8.6,8.3,8.4,3.0,0.0,-8.0
2016-07-04,6021,110.0,8.32,8.4,8.31,8.33,0.0,0.0,75.0
2016-07-05,6021,100.0,8.25,8.33,8.25,8.31,18.0,0.0,14.0
2016-07-06,6021,58.0,8.31,8.31,8.22,8.26,-2.0,0.0,-14.0
2016-07-07,6021,38.0,8.27,8.27,8.21,8.21,0.0,0.0,0.0
2016-07-11,6021,135.0,8.23,8.45,8.23,8.37,1.0,0.0,-67.0
2016-07-12,6021,135.0,8.37,8.4,8.29,8.37,0.0,0.0,41.0
