Code,Name,Market,Market_Value,產業別,Main_Type,Sub_Type,Issue_amount,相關產業
1440,南紡,市,185,紡織纖維,Traditional,Fabric,166,"紡織_纖維,紡織_紡紗"
1441,大東,市,8.25,紡織纖維,Traditional,Fabric,10.1,紡織_紡紗
1442,名軒,市,60.3,建材營造業,Traditional,Construction,30.8,建設業
1443,立益,市,11.9,紡織纖維,Traditional,Fabric,13.5,紡織_紡紗
1444,力麗,市,118,紡織纖維,Traditional,Fabric,95.7,紡織_纖維
1445,大宇,市,12.3,紡織纖維,Traditional,Fabric,13.1,"紡織_紡紗,紡織_織布"
1446,宏和,市,40.9,紡織纖維,Traditional,Fabric,13.8,"紡織_織布,紡織_成衣及其它家居紡織類品,營造業"
1447,力鵬,市,61.4,紡織纖維,Traditional,Fabric,91.4,"紡織_纖維,紡織_紡紗,紡織_織布,紡織_染整"
1449,佳和,市,29.6,紡織纖維,Traditional,Fabric,18,"紡織_紡紗,紡織_織布,紡織_染整"
1451,年興,市,31.6,紡織纖維,Traditional,Fabric,19.8,"紡織_紡紗,紡織_織布,紡織_染整,紡織_成衣及其它家居紡織類品"
1452,宏益,市,20.3,紡織纖維,Traditional,Fabric,13.3,紡織_纖維
1453,大將,市,8.52,建材營造業,Traditional,Construction,9.86,建設業
1454,台富,市,10.6,紡織纖維,Traditional,Fabric,13,"紡織_紡紗,紡織_織布,紡織_成衣及其它家居紡織類品"
1455,集盛,市,49.9,紡織纖維,Traditional,Fabric,57.8,紡織_纖維
1456,怡華,市,9.37,建材營造業,Traditional,Construction,9.37,建設業
1457,宜進,市,40.6,紡織纖維,Traditional,Fabric,30.2,"紡織_纖維,紡織_紡紗,紡織_染整"
1459,聯發,市,29,紡織纖維,Traditional,Fabric,35.9,紡織_纖維
1460,宏遠,市,47.6,紡織纖維,Traditional,Fabric,51,"紡織_紡紗,紡織_織布,紡織_染整,紡織_成衣及其它家居紡織類品"
1463,強盛,市,22.1,紡織纖維,Traditional,Fabric,17.3,紡織_染整
1464,得力,市,67.9,紡織纖維,Traditional,Fabric,38.5,"紡織_纖維,紡織_紡紗,紡織_織布,紡織_染整"
1465,偉全,市,13.5,紡織纖維,Traditional,Fabric,10.4,"紡織_纖維,紡織_織布"
1466,聚隆,市,25.1,紡織纖維,Traditional,Fabric,11.1,紡織_纖維
1467,南緯,市,41.6,紡織纖維,Traditional,Fabric,23.4,"紡織_染整,紡織_成衣及其它家居紡織類品"
1468,昶和,市,18.4,紡織纖維,Traditional,Fabric,16,"紡織_纖維,紡織_織布,紡織_染整,紡織_成衣及其它家居紡織類品"
1470,大統新創,市,15.1,紡織纖維,Traditional,Fabric,8.58,紡織_染整
1471,首利,市,11.9,電子零組件業,Electronic,Components,15,"電腦機殼,電腦電源供應器"
