Time,Stock_ID,Volume,Open,High,Low,Close,Foreign_Net_Volume,Domestic_Net_Volume,Net_Margin
2016-01-04,1471,638.85,4.9,4.97,4.73,4.85,-114.0,2.0,-134.0
2016-01-05,1471,998.64,4.74,5.0,4.74,4.98,-14.0,0.0,7.0
2016-01-06,1471,1295.0,4.96,4.97,4.8,4.89,-123.0,0.0,174.0
2016-01-07,1471,504.05,4.88,4.89,4.68,4.71,-28.0,0.0,1.0
2016-01-08,1471,182.54,4.71,4.78,4.7,4.71,30.0,0.0,4.0
2016-01-11,1471,239.31,4.69,4.73,4.6,4.71,-10.0,0.0,18.0
2016-01-12,1471,260.1,4.72,4.8,4.63,4.65,-17.0,2.0,-24.0
2016-01-13,1471,155.0,4.7,4.73,4.63,4.63,-2.0,0.0,-49.0
2016-01-14,1471,296.83,4.63,4.63,4.4,4.42,-16.0,0.0,-96.0
2016-01-15,1471,229.84,4.47,4.47,4.3,4.39,-21.0,5.0,8.0
2016-01-18,1471,195.2,4.23,4.48,4.23,4.45,-85.0,0.0,-20.0
2016-01-19,1471,225.11,4.35,4.55,4.35,4.53,-85.0,0.0,39.0
2016-01-20,1471,147.34,4.53,4.54,4.41,4.46,-6.0,4.0,35.0
2016-01-21,1471,281.73,4.39,4.64,4.39,4.47,-46.0,0.0,22.0
2016-01-22,1471,110.02,4.56,4.56,4.44,4.44,-30.0,0.0,22.0
2016-01-25,1471,254.24,4.42,4.58,4.42,4.45,-85.0,0.0,13.0
2016-01-26,1471,123.88,4.45,4.45,4.37,4.39,0.0,0.0,19.0
2016-01-27,1471,162.85,4.41,4.48,4.36,4.36,7.0,0.0,19.0
2016-01-28,1471,221.29,4.37,4.47,4.37,4.39,-5.0,0.0,-44.0
2016-01-29,1471,63.63,4.42,4.48,4.4,4.42,0.0,0.0,28.0
2016-01-30,1471,143.1,4.41,4.59,4.41,4.49,0.0,0.0,8.0
2016-02-01,1471,267.3,4.5,4.56,4.45,4.51,36.0,3.0,3.0
2016-02-02,1471,174.0,4.5,4.52,4.42,4.47,34.0,0.0,-28.0
2016-02-03,1471,244.94,4.47,4.57,4.47,4.5,-23.0,0.0,-1.0
2016-02-15,1471,1601.49,4.51,4.95,4.51,4.95,5.0,0.0,-314.0
2016-02-16,1471,2717.48,5.0,5.44,5.0,5.44,55.0,0.0,164.0
2016-02-17,1471,3397.59,5.65,5.75,5.3,5.36,-157.0,2.0,-196.0
2016-02-18,1471,678.48,5.36,5.51,5.3,5.36,-9.0,3.0,-25.0
2016-02-19,1471,412.9,5.42,5.42,5.32,5.35,-91.0,0.0,137.0
2016-02-22,1471,905.88,5.35,5.7,5.32,5.56,2.0,1.0,122.0
2016-02-23,1471,563.61,5.69,5.7,5.52,5.6,-1.0,4.0,-197.0
2016-02-24,1471,1074.87,5.7,5.7,5.35,5.41,-165.0,5.0,93.0
2016-02-25,1471,184.88,5.47,5.48,5.38,5.4,0.0,0.0,-24.0
2016-02-26,1471,397.01,5.36,5.58,5.35,5.4,2.0,0.0,-29.0
2016-03-01,1471,375.86,5.45,5.67,5.4,5.67,5.0,0.0,158.0
2016-03-02,1471,2912.33,5.72,6.23,5.6,6.23,436.0,0.0,163.0
2016-03-03,1471,2209.01,6.28,6.29,6.0,6.24,-230.0,1.0,121.0
2016-03-04,1471,792.55,6.1,6.2,5.98,6.13,-34.0,5.0,-26.0
2016-03-07,1471,645.03,6.14,6.24,6.01,6.06,-56.0,0.0,-22.0
2016-03-08,1471,1260.37,6.06,6.52,6.0,6.31,-118.0,1.0,150.0
2016-03-09,1471,779.03,6.4,6.44,6.14,6.14,-132.0,0.0,3.0
2016-03-10,1471,557.33,6.17,6.24,6.01,6.14,-70.0,0.0,-62.0
2016-03-11,1471,521.26,6.29,6.29,6.05,6.05,-69.0,4.0,-38.0
2016-03-14,1471,516.32,6.06,6.15,6.02,6.02,-8.0,0.0,-211.0
2016-03-15,1471,1007.72,6.01,6.03,5.7,5.74,-102.0,0.0,0.0
2016-03-16,1471,574.98,5.74,5.9,5.72,5.82,-31.0,0.0,-33.0
2016-03-17,1471,420.32,5.85,5.96,5.61,5.61,-39.0,2.0,7.0
2016-03-18,1471,336.54,5.52,5.88,5.52,5.73,5.0,0.0,74.0
2016-03-21,1471,238.48,5.82,5.82,5.7,5.7,-4.0,0.0,19.0
2016-03-22,1471,922.12,5.75,6.1,5.75,5.89,-18.0,1.0,-184.0
2016-03-23,1471,270.59,5.98,6.02,5.83,5.88,-9.0,0.0,-34.0
2016-03-24,1471,660.82,5.88,6.0,5.82,5.93,-68.0,0.0,-79.0
2016-03-25,1471,202.05,5.82,5.97,5.82,5.86,-1.0,0.0,8.0
2016-03-28,1471,397.02,5.8,5.97,5.8,5.91,1.0,0.0,-47.0
2016-03-29,1471,532.2,5.91,6.0,5.76,5.77,-3.0,0.0,-191.0
2016-03-30,1471,395.13,5.82,5.88,5.65,5.65,17.0,0.0,-137.0
2016-03-31,1471,204.79,5.7,5.7,5.62,5.69,-6.0,0.0,-41.0
2016-04-01,1471,276.36,5.69,5.8,5.65,5.66,62.0,4.0,-26.0
2016-04-06,1471,170.94,5.62,5.7,5.52,5.57,-5.0,1.0,23.0
2016-04-07,1471,485.14,5.51,5.6,5.4,5.4,15.0,1.0,33.0
2016-04-08,1471,294.32,5.38,5.46,5.34,5.46,-10.0,0.0,-45.0
2016-04-11,1471,206.13,5.38,5.59,5.38,5.51,6.0,0.0,9.0
2016-04-12,1471,239.49,5.45,5.65,5.45,5.48,-2.0,0.0,51.0
2016-04-13,1471,848.88,5.58,5.74,5.5,5.72,44.3,0.0,55.0
2016-04-14,1471,468.53,5.8,5.88,5.64,5.74,-30.0,0.0,26.0
2016-04-15,1471,241.26,5.74,5.8,5.63,5.78,-12.0,0.0,18.0
2016-04-18,1471,59.51,5.87,5.87,5.71,5.8,-1.0,0.0,30.0
2016-04-19,1471,2278.91,5.83,5.96,5.68,5.89,220.0,0.0,-52.0
2016-04-20,1471,376.57,5.9,5.98,5.7,5.7,-13.0,0.0,147.0
