Time,Stock_ID,Volume,Open,High,Low,Close,Foreign_Net_Volume,Domestic_Net_Volume,Net_Margin
2016-01-04,4128,632.0,26.45,26.45,25.9,26.05,-12.0,0.0,0.0
2016-01-05,4128,418.0,25.8,26.3,25.8,26.05,47.0,0.0,0.0
2016-01-06,4128,416.0,26.1,26.2,25.6,25.9,103.0,0.0,0.0
2016-01-07,4128,811.0,25.8,25.95,24.7,25.45,113.0,0.0,0.0
2016-01-08,4128,640.0,24.85,26.25,24.85,26.05,278.69,0.0,0.0
2016-01-11,4128,295.0,26.0,26.0,25.4,25.8,100.0,0.0,0.0
2016-01-12,4128,578.0,25.8,26.0,24.95,25.0,155.0,0.0,0.0
2016-01-13,4128,559.0,25.3,26.0,25.0,26.0,173.0,0.0,0.0
2016-01-14,4128,385.0,25.3,25.75,25.1,25.3,105.82,0.0,0.0
2016-01-15,4128,489.0,25.4,25.6,25.3,25.4,-59.0,0.0,0.0
2016-01-18,4128,521.0,24.95,25.95,24.85,25.95,23.0,0.0,0.0
2016-01-19,4128,327.0,25.8,26.1,25.6,25.7,11.0,0.0,0.0
2016-01-20,4128,370.0,25.7,25.9,25.05,25.2,-3.0,0.0,0.0
2016-01-21,4128,642.0,25.4,25.4,24.7,25.3,-91.0,0.0,0.0
2016-01-22,4128,425.0,25.3,25.4,24.7,24.85,-59.0,0.0,0.0
2016-01-25,4128,312.0,24.95,25.3,24.95,25.0,-3.0,0.0,0.0
2016-01-26,4128,156.0,25.0,25.0,24.7,24.95,-1.0,0.0,0.0
2016-01-27,4128,224.0,25.1,25.1,24.5,24.5,23.0,0.0,0.0
2016-01-28,4128,339.0,24.6,24.7,24.45,24.6,42.0,0.0,0.0
2016-01-29,4128,227.0,24.6,24.85,24.6,24.8,23.0,0.0,0.0
2016-01-30,4128,436.0,25.0,25.7,25.0,25.2,0.0,0.0,0.0
2016-02-01,4128,280.0,25.5,25.5,25.0,25.05,-35.0,0.0,0.0
2016-02-02,4128,205.0,25.05,25.3,24.9,24.9,-5.0,0.0,0.0
2016-02-03,4128,300.0,24.9,25.1,24.85,25.0,-2.0,0.0,0.0
2016-02-15,4128,172.0,25.0,25.15,24.8,24.8,-16.0,0.0,0.0
2016-02-16,4128,306.0,25.0,25.1,24.9,24.9,1.0,0.0,0.0
2016-02-17,4128,319.0,25.1,25.55,25.05,25.1,21.0,0.0,0.0
2016-02-18,4128,2693.0,25.75,27.5,25.5,27.5,19.0,0.0,0.0
2016-02-19,4128,1437.0,27.5,27.5,26.45,26.8,56.0,0.0,0.0
2016-02-22,4128,1204.0,26.0,26.2,25.6,25.9,74.0,0.0,0.0
2016-02-23,4128,569.0,26.3,26.35,26.05,26.15,-7.0,0.0,0.0
2016-02-24,4128,1085.0,26.8,26.8,26.3,26.5,12.0,0.0,0.0
2016-02-25,4128,543.0,26.8,26.8,26.15,26.25,76.0,0.0,0.0
2016-02-26,4128,395.0,26.3,26.4,26.05,26.25,55.0,0.0,0.0
2016-03-01,4128,435.0,26.5,26.6,26.25,26.25,44.0,0.0,0.0
2016-03-02,4128,469.0,26.35,26.5,26.25,26.25,29.0,0.0,0.0
2016-03-03,4128,603.0,26.4,26.55,26.25,26.25,4.0,0.0,0.0
2016-03-04,4128,355.0,26.25,26.4,26.25,26.3,16.0,0.0,0.0
2016-03-07,4128,448.0,26.3,26.45,25.9,25.9,-4.0,0.0,0.0
2016-03-08,4128,332.0,25.9,26.0,25.7,25.9,4.0,0.0,0.0
2016-03-09,4128,1561.0,26.4,26.85,26.4,26.45,12.0,0.0,0.0
2016-03-10,4128,619.0,26.5,26.75,26.3,26.35,51.0,0.0,0.0
