Code,Name,Market,Market_Value,產業別,Main_Type,Sub_Type,Issue_amount,相關產業
1460,宏遠,市,47.6,紡織纖維,Traditional,Fabric,51,紡織纖維
1463,強盛,市,22.1,紡織纖維,Traditional,Fabric,17.3,紡織纖維
1464,得力,市,67.9,紡織纖維,Traditional,Fabric,38.5,紡織纖維
1465,偉全,市,13.5,紡織纖維,Traditional,Fabric,10.4,紡織纖維
1466,聚隆,市,25.1,紡織纖維,Traditional,Fabric,11.1,紡織纖維
1467,南緯,市,41.6,紡織纖維,Traditional,Fabric,23.4,紡織纖維
1468,昶和,市,18.4,紡織纖維,Traditional,Fabric,16,紡織纖維
1470,大統新創,市,15.1,紡織纖維,Traditional,Fabric,8.58,紡織纖維
1471,首利,市,11.9,電子零組件業,Electronic,Components,15,"電源供應器,電腦周邊產品,機殼業"
1472,三洋紡,市,5.48,紡織纖維,Traditional,Fabric,4.61,紡織纖維
1473,台南,市,26.3,紡織纖維,Traditional,Fabric,14.7,紡織纖維
1474,弘裕,市,15,紡織纖維,Traditional,Fabric,13,紡織纖維
1475,本盟,市,4.46,紡織纖維,Traditional,Fabric,3.6,紡織纖維
1476,儒鴻,市,966,紡織纖維,Traditional,Fabric,27.4,紡織纖維
1477,聚陽,市,368,紡織纖維,Traditional,Fabric,22,紡織纖維
1503,士電,市,244,電機機械,Traditional,Machinery,52.1,電機機械
1504,東元,市,590,電機機械,Traditional,Machinery,197,電機機械
1506,正道,市,19.1,電機機械,Traditional,Machinery,16.3,電機機械
1507,永大,市,220,電機機械,Traditional,Machinery,41.1,電機機械
1512,瑞利,市,11.4,汽車工業,Traditional,Cars,23.7,汽車
1513,中興電,市,179,電機機械,Traditional,Machinery,42,電機機械
1514,亞力,市,54.2,電機機械,Traditional,Machinery,21.7,電機機械
1515,力山,市,143,電機機械,Traditional,Machinery,18.1,電機機械
1516,川飛,市,6.11,其他業,Others,Others,3.44,其他
1517,利奇,市,25.3,電機機械,Traditional,Machinery,22.8,電機機械
1519,華城,市,109,電機機械,Traditional,Machinery,26.1,電機機械
1521,大億,市,39.6,汽車工業,Traditional,Cars,7.62,汽車
1522,堤維西,市,64.1,汽車工業,Traditional,Cars,31.3,汽車
1524,耿鼎,市,15.5,汽車工業,Traditional,Cars,18,汽車
1525,江申,市,46,汽車工業,Traditional,Cars,7.34,汽車
1526,日馳,市,29.7,電機機械,Traditional,Machinery,6,電機機械
1527,鑽全,市,52.1,電機機械,Traditional,Machinery,13.9,電機機械
1528,恩德,市,15.6,電機機械,Traditional,Machinery,19.9,電機機械
1529,樂士,市,14.6,電機機械,Traditional,Machinery,9.6,電機機械
1530,亞崴,市,28.6,電機機械,Traditional,Machinery,9.66,電機機械
1531,高林股,市,20.3,電機機械,Traditional,Machinery,18.4,電機機械
1532,勤美,市,114,電機機械,Traditional,Machinery,37.6,電機機械
1533,車王電,市,28.1,汽車工業,Traditional,Cars,9.85,汽車
1535,中宇,市,39.2,電機機械,Traditional,Machinery,12.4,電機機械
1536,和大,市,228,汽車工業,Traditional,Cars,25.5,汽車
1537,廣隆,市,112,電機機械,Traditional,Machinery,8.18,電機機械
1538,正峰新,市,0.96,電機機械,Traditional,Machinery,5.61,電機機械
1539,巨庭,市,13.9,電機機械,Traditional,Machinery,6.54,電機機械
1540,喬福,市,12.3,電機機械,Traditional,Machinery,8.55,電機機械
1541,錩泰,市,40.1,電機機械,Traditional,Machinery,7.88,電機機械
1558,伸興,市,81.4,電機機械,Traditional,Machinery,6.05,電機機械
1560,中砂,市,83.8,電機機械,Traditional,Machinery,14.1,電機機械
1568,倉佑,市,15.8,汽車工業,Traditional,Cars,10.3,汽車
1582,信錦,市,101,電子零組件業,Electronic,Components,12.4,電子零組件
