Time,Stock_ID,Volume,Open,High,Low,Close,Foreign_Net_Volume,Domestic_Net_Volume,Net_Margin
2016-01-04,3060,1373.14,56.8,56.8,55.1,55.1,-164.0,12.0,-200.0
2016-01-05,3060,1268.6,55.5,55.9,54.4,55.0,-152.0,2.0,26.0
2016-01-06,3060,2598.59,55.4,55.6,52.0,52.0,-374.0,75.0,-193.0
2016-01-07,3060,2613.92,51.6,52.2,48.8,49.0,21.0,112.0,-102.0
2016-01-08,3060,1822.34,48.0,50.8,48.0,50.5,378.0,10.0,-67.0
2016-01-11,3060,1661.36,50.4,50.8,48.75,49.1,385.0,2.0,-89.0
2016-01-12,3060,1206.4,49.85,50.3,48.2,48.3,55.0,33.0,-38.0
2016-01-13,3060,815.64,49.4,49.4,48.5,49.1,77.5,4.0,-17.0
2016-01-14,3060,854.48,48.0,49.3,48.0,48.85,108.0,20.0,-78.0
2016-01-15,3060,1416.49,49.7,49.8,47.6,47.7,-264.0,18.0,-42.0
2016-01-18,3060,1106.02,46.9,49.5,46.8,49.35,174.0,1.0,19.0
2016-01-19,3060,746.8,49.3,50.0,48.6,50.0,-2.0,0.0,33.0
2016-01-20,3060,893.71,50.0,50.0,48.5,48.5,-65.0,8.0,-67.0
2016-01-21,3060,740.65,48.8,49.1,47.8,48.05,7.0,20.0,15.0
2016-01-22,3060,650.07,48.95,48.95,48.0,48.1,22.0,6.0,14.0
2016-01-25,3060,703.04,48.7,49.35,48.55,49.0,32.0,24.0,152.0
2016-01-26,3060,580.0,48.55,48.7,48.2,48.25,57.0,0.0,79.0
2016-01-27,3060,971.31,49.3,49.3,47.8,47.85,59.0,4.0,34.0
2016-01-28,3060,692.78,47.85,48.5,47.7,48.15,66.0,0.0,-18.0
2016-01-29,3060,1345.81,48.25,49.85,47.75,49.6,154.0,2.0,104.0
2016-01-30,3060,1291.06,50.5,51.3,50.1,50.2,0.0,0.0,-52.0
2016-02-01,3060,1048.1,50.0,50.2,49.3,49.5,-152.0,4.0,112.0
2016-02-02,3060,635.18,49.6,49.85,49.15,49.4,-117.0,0.0,19.0
2016-02-03,3060,836.28,49.1,49.2,48.55,48.55,-199.0,0.0,-49.0
2016-02-15,3060,661.62,48.45,49.3,48.2,48.9,-37.0,2.0,-62.0
2016-02-16,3060,4257.15,50.7,52.3,50.6,52.0,-221.88,0.0,820.0
2016-02-17,3060,1913.01,52.3,52.5,51.2,51.4,-119.0,76.0,-186.0
2016-02-18,3060,2853.25,52.3,53.2,51.8,52.1,-171.0,3.0,-71.0
2016-02-19,3060,1533.26,52.3,52.9,52.0,52.4,-23.0,19.0,224.0
2016-02-22,3060,1402.19,53.0,53.5,52.0,52.3,-21.0,19.0,24.0
2016-02-23,3060,1787.35,52.9,53.5,52.3,52.7,146.0,55.0,-146.0
2016-02-24,3060,2482.83,52.0,52.6,51.0,51.1,108.52,3.0,-18.0
2016-02-25,3060,1138.0,51.5,52.4,51.4,51.5,185.0,0.0,-101.0
2016-02-26,3060,936.1,52.1,52.2,51.1,52.0,84.0,0.0,-104.0
2016-03-01,3060,2741.71,52.5,54.4,51.7,53.9,99.57,0.0,533.0
2016-03-02,3060,2630.81,54.8,55.0,54.0,54.0,37.0,0.0,-389.0
2016-03-03,3060,1448.33,54.2,54.6,53.3,53.8,12.0,1.0,2.0
2016-03-04,3060,1261.27,53.9,54.3,53.4,53.8,-51.82,3.0,50.0
2016-03-07,3060,1912.83,53.9,55.3,53.9,54.6,52.0,0.0,408.0
2016-03-08,3060,1237.56,54.9,55.0,53.4,53.8,-87.0,6.0,-87.0
2016-03-09,3060,8511.93,53.8,58.8,53.8,58.5,414.0,27.0,677.0
2016-03-10,3060,7220.55,58.5,60.5,57.0,57.5,-852.0,86.0,-36.0
2016-03-11,3060,2895.84,57.7,58.0,56.5,56.7,-203.0,21.0,17.0
2016-03-14,3060,3200.55,57.5,59.3,57.3,58.5,33.0,0.0,49.0
2016-03-15,3060,6407.12,59.4,60.6,56.1,56.8,-368.0,4.0,-22.0
2016-03-16,3060,2376.99,57.3,59.1,57.3,58.7,578.0,0.0,-52.0
2016-03-17,3060,3457.23,60.4,60.4,57.5,57.7,-227.0,0.0,-7.0
2016-03-18,3060,1067.04,58.2,58.5,57.5,58.2,52.0,4.0,-59.0
2016-03-21,3060,1412.5,58.8,58.8,57.6,57.9,270.0,0.0,-139.0
2016-03-22,3060,2251.52,58.8,59.5,57.8,58.1,123.0,0.0,-78.0
2016-03-23,3060,4233.17,58.0,58.0,55.7,55.8,-8.0,199.0,-705.0
2016-03-24,3060,1912.57,55.2,56.2,54.5,55.0,170.0,92.0,70.0
2016-03-25,3060,1059.47,55.8,55.8,54.7,55.1,-140.0,38.0,-132.0
2016-03-28,3060,1725.8,55.1,56.0,53.8,53.9,-152.0,58.0,-90.0
2016-03-29,3060,1866.87,53.9,54.5,52.5,52.8,66.0,47.0,-265.0
2016-03-30,3060,1421.51,53.2,54.3,53.2,54.2,320.0,279.0,-189.0
2016-03-31,3060,983.2,54.5,54.6,53.7,53.9,-92.0,3.0,6.0
2016-04-01,3060,808.06,53.7,54.5,53.3,53.9,36.0,0.0,-11.0
2016-04-06,3060,1159.11,54.1,54.8,53.2,54.6,-256.0,19.0,-49.0
2016-04-07,3060,1214.21,55.1,55.2,53.8,54.0,-203.0,7.0,54.0
2016-04-08,3060,930.16,54.0,54.6,53.8,53.8,-70.0,1.0,13.0
2016-04-11,3060,1293.55,53.6,53.7,52.6,53.0,-96.0,0.0,19.0
2016-04-12,3060,1243.22,53.1,53.4,52.0,52.2,134.0,2.0,-126.0
2016-04-13,3060,802.2,52.6,53.2,52.3,53.0,68.0,0.0,1.0
2016-04-14,3060,839.1,53.4,53.7,52.7,52.7,97.0,22.0,-40.0
2016-04-15,3060,882.28,52.4,53.5,52.4,52.7,225.0,2.0,-15.0
