Time,Stock_ID,Volume,Open,High,Low,Close,Foreign_Net_Volume,Domestic_Net_Volume,Net_Margin
2016-01-04,2701,25.81,14.4,14.4,14.25,14.25,0.0,0.0,12.0
2016-01-05,2701,10.33,14.2,14.2,14.2,14.2,0.0,0.0,-3.0
2016-01-06,2701,4.7,14.15,14.15,14.15,14.15,0.0,0.0,0.0
2016-01-07,2701,33.36,14.35,14.35,14.15,14.2,0.0,0.0,-1.0
2016-01-08,2701,34.39,14.15,14.65,14.1,14.3,0.0,0.0,-3.0
2016-01-11,2701,30.53,14.15,14.35,14.1,14.1,-9.0,0.0,0.0
2016-01-12,2701,37.6,14.1,14.25,14.1,14.2,0.0,0.0,-13.0
2016-01-13,2701,9.59,14.25,14.45,14.15,14.15,1.0,0.0,-1.0
2016-01-14,2701,2.4,14.35,14.35,14.15,14.15,0.0,0.0,0.0
2016-01-15,2701,5.18,14.25,14.25,14.05,14.05,-1.0,0.0,0.0
2016-01-18,2701,12.1,14.0,14.25,14.0,14.1,0.0,0.0,0.0
2016-01-19,2701,14.51,14.0,14.15,14.0,14.15,4.0,0.0,-2.0
2016-01-20,2701,2.26,14.05,14.05,14.0,14.0,0.0,0.0,0.0
2016-01-21,2701,12.14,14.0,14.1,13.9,13.9,0.0,0.0,0.0
2016-01-22,2701,37.71,13.9,14.05,13.85,13.85,0.0,0.0,1.0
2016-01-25,2701,102.35,13.85,14.35,13.85,14.3,4.0,0.0,-9.0
2016-01-26,2701,167.13,14.0,14.4,14.0,14.4,-8.0,0.0,-2.0
2016-01-27,2701,100.7,14.3,14.5,14.15,14.5,0.0,0.0,0.0
2016-01-29,2701,47.99,14.4,14.5,14.4,14.5,0.0,0.0,-1.0
2016-01-30,2701,1887.97,14.4,14.9,14.4,14.8,0.0,0.0,-4.0
2016-02-01,2701,13.12,14.5,14.7,14.5,14.7,0.0,0.0,0.0
2016-02-02,2701,2109.99,14.55,14.9,14.5,14.9,0.0,0.0,0.0
2016-02-03,2701,80.44,14.85,15.0,14.7,15.0,-2.0,0.0,-1.0
2016-02-15,2701,250.52,14.7,14.7,14.55,14.6,84.0,0.0,50.0
2016-02-16,2701,91.01,14.6,14.7,14.55,14.6,0.0,0.0,-3.0
2016-02-17,2701,33.17,14.6,14.7,14.55,14.55,0.0,0.0,-18.0
2016-02-18,2701,91.2,14.55,14.7,14.4,14.65,0.0,0.0,-25.0
2016-02-19,2701,16.89,14.5,14.65,14.5,14.55,2.0,0.0,-3.0
2016-02-23,2701,71.25,14.55,14.6,14.45,14.5,0.0,0.0,0.0
2016-02-24,2701,171.75,14.45,14.5,14.4,14.5,0.0,0.0,-1.0
2016-02-25,2701,10.44,14.6,14.6,14.5,14.5,0.0,0.0,-3.0
2016-02-26,2701,5.24,14.45,14.45,14.45,14.45,0.0,0.0,0.0
2016-03-01,2701,19.52,14.7,14.7,14.5,14.5,-10.0,0.0,1.0
2016-03-02,2701,9.28,14.6,14.6,14.55,14.6,0.0,0.0,1.0
2016-03-03,2701,11.22,14.75,14.75,14.5,14.5,-4.0,0.0,1.0
2016-03-04,2701,5.08,14.6,14.6,14.6,14.6,0.0,0.0,0.0
2016-03-07,2701,86.35,14.7,14.8,14.65,14.7,-25.0,0.0,29.0
2016-03-08,2701,39.3,14.65,14.7,14.6,14.6,0.0,0.0,3.0
2016-03-09,2701,47.97,14.6,14.75,14.5,14.55,0.0,0.0,14.0
2016-03-10,2701,28.19,14.55,14.65,14.5,14.6,0.0,0.0,15.0
2016-03-11,2701,26.34,14.6,14.6,14.55,14.55,11.0,0.0,0.0
2016-03-14,2701,46.59,14.55,14.7,14.5,14.6,0.0,0.0,3.0
2016-03-15,2701,54.68,14.6,14.6,14.5,14.55,0.0,0.0,12.0
2016-03-16,2701,85.97,14.55,14.65,14.55,14.65,0.0,0.0,-2.0
2016-03-17,2701,48.3,14.7,14.75,14.6,14.7,0.0,0.0,-5.0
2016-03-18,2701,24.05,14.7,14.7,14.65,14.65,0.0,0.0,0.0
2016-03-21,2701,18.33,14.55,14.65,14.55,14.6,-1.0,0.0,4.0
2016-03-22,2701,24.84,14.6,14.6,14.6,14.6,0.0,1.0,-2.0
2016-03-23,2701,58.64,14.7,14.75,14.65,14.75,0.0,0.0,-5.0
2016-03-24,2701,71.77,14.65,14.7,14.65,14.7,-2.0,0.0,-2.0
2016-03-25,2701,24.27,14.65,14.75,14.65,14.7,0.0,0.0,0.0
2016-03-28,2701,17.03,14.7,14.7,14.65,14.65,0.0,0.0,0.0
2016-03-29,2701,90.59,14.65,14.7,14.5,14.5,4.0,0.0,12.0
2016-03-30,2701,18.17,14.55,14.6,14.55,14.55,0.0,0.0,-8.0
2016-03-31,2701,20.71,14.6,14.6,14.55,14.55,0.0,0.0,-4.0
