Time,Stock_ID,Volume,Open,High,Low,Close,Foreign_Net_Volume,Domestic_Net_Volume,Net_Margin
2016-01-04,8044,519.0,334.0,334.0,318.5,318.5,-20.0,31.0,-25.0
2016-01-05,8044,289.0,319.5,325.0,318.0,323.0,81.9,5.0,-10.0
2016-01-06,8044,396.0,326.0,326.0,315.5,323.0,90.93,11.0,-45.0
2016-01-07,8044,884.0,319.0,322.0,294.0,304.0,-65.0,33.0,-75.0
2016-01-08,8044,914.0,297.0,313.0,296.5,308.0,-125.85,5.0,72.0
2016-01-11,8044,527.0,306.0,306.0,296.0,299.0,-9.0,26.0,11.0
2016-01-12,8044,843.0,302.5,305.5,282.0,286.0,182.0,46.0,-64.0
2016-01-13,8044,531.0,290.0,294.0,288.5,290.5,215.0,5.0,-34.0
2016-01-14,8044,603.0,285.0,290.0,281.0,290.0,235.73,4.0,-61.0
2016-01-15,8044,564.0,298.5,302.5,293.5,295.0,109.0,4.0,-71.0
2016-01-18,8044,422.0,290.0,298.0,289.0,296.5,-142.55,13.0,39.0
2016-01-19,8044,562.0,300.0,308.0,292.5,308.0,54.0,13.0,-28.0
2016-01-20,8044,459.0,303.0,306.5,293.0,293.0,-33.83,20.0,-7.0
2016-01-21,8044,335.0,295.0,298.0,290.0,290.0,-59.5,6.0,31.0
2016-01-22,8044,704.0,297.0,297.0,279.0,282.5,-183.79,15.0,60.0
2016-01-25,8044,416.0,288.0,294.0,287.0,290.0,42.0,2.0,-12.0
2016-01-26,8044,316.0,289.0,294.5,287.0,290.0,-25.4,1.0,-18.0
2016-01-27,8044,266.0,295.0,296.0,289.0,289.0,47.0,2.21,-19.0
2016-01-28,8044,898.0,291.0,303.0,290.0,298.0,25.0,2.0,-44.0
2016-01-29,8044,709.0,299.0,302.0,295.0,298.0,-266.93,18.4,23.0
2016-01-30,8044,729.0,310.5,318.0,310.5,313.0,-1.0,5.0,8.0
2016-02-01,8044,1985.0,316.0,343.0,313.5,324.0,366.45,12.0,-40.0
2016-02-02,8044,1385.0,329.0,335.0,319.0,320.0,-162.79,75.0,5.0
2016-02-03,8044,791.0,319.0,320.5,309.5,309.5,-78.0,26.0,4.0
2016-02-15,8044,898.0,302.0,311.0,301.5,308.0,-198.45,21.0,0.0
2016-02-16,8044,1499.0,320.0,327.0,316.0,322.0,-485.67,3.0,13.0
2016-02-17,8044,751.0,320.0,324.0,318.5,322.0,-106.98,48.0,-47.0
2016-02-18,8044,2010.0,331.5,342.5,326.0,340.0,138.37,19.0,-126.0
2016-02-19,8044,1264.0,340.0,349.0,336.0,344.5,301.64,115.0,-101.0
2016-02-22,8044,1051.0,352.0,354.5,345.0,353.5,186.9,20.0,-57.0
2016-02-23,8044,531.0,351.5,355.0,346.0,348.0,99.05,20.0,-23.0
2016-02-24,8044,856.0,348.0,358.5,348.0,354.0,197.0,3.0,-61.0
2016-02-25,8044,513.0,361.0,361.0,348.5,351.0,94.0,81.0,23.0
2016-02-26,8044,343.0,353.0,355.0,349.0,352.5,88.0,16.0,-13.0
2016-03-01,8044,412.0,352.0,354.5,344.5,346.0,24.0,3.0,37.0
2016-03-02,8044,619.0,350.5,359.0,347.0,354.5,228.7,8.0,-78.0
2016-03-03,8044,614.0,356.5,358.0,347.0,349.0,77.83,34.0,12.0
2016-03-04,8044,540.0,352.0,356.0,349.0,355.5,207.84,49.05,-19.0
2016-03-07,8044,214.0,356.0,357.5,352.0,352.5,45.0,12.0,-5.0
2016-03-08,8044,278.0,354.0,354.5,350.0,354.0,38.0,23.0,0.0
2016-03-09,8044,784.0,352.0,364.0,350.5,358.5,-34.09,4.0,11.0
2016-03-10,8044,295.0,356.0,357.0,351.5,354.5,46.0,131.0,23.0
2016-03-11,8044,1248.0,359.0,365.5,355.0,363.0,195.0,29.0,-129.0
2016-03-14,8044,381.0,365.5,367.0,361.0,364.0,49.58,24.0,-2.0
2016-03-15,8044,601.0,365.0,372.0,350.0,350.0,-10.0,88.0,30.0
2016-03-16,8044,420.0,355.0,359.0,351.0,353.5,-13.09,14.0,-10.0
2016-03-17,8044,571.0,359.5,364.5,354.0,354.0,56.25,77.0,-12.0
2016-03-18,8044,276.0,357.0,358.5,354.0,358.0,72.45,13.0,-32.0
2016-03-21,8044,265.0,358.0,358.0,352.0,353.0,-52.37,1.0,32.0
2016-03-22,8044,224.0,353.0,356.0,351.5,352.5,96.0,8.0,-7.0
2016-03-23,8044,668.0,351.0,352.5,332.0,335.0,-89.0,25.0,18.0
2016-03-24,8044,551.0,330.0,334.0,323.0,330.0,156.0,14.0,29.0
2016-03-25,8044,175.0,330.0,333.5,327.0,332.0,12.0,1.0,-2.0
2016-03-28,8044,139.0,331.0,335.5,328.0,328.0,22.0,3.0,6.0
2016-03-29,8044,703.0,337.0,347.5,335.0,335.5,32.0,8.0,77.0
2016-03-30,8044,717.0,345.0,358.0,342.5,357.0,462.0,12.0,-164.0
2016-03-31,8044,428.0,355.0,357.0,351.0,354.5,76.37,22.27,-15.0
2016-04-01,8044,338.0,358.0,358.5,351.5,356.5,124.81,5.29,-19.0
2016-04-06,8044,216.0,356.5,356.5,345.5,349.5,30.23,4.0,-19.0
2016-04-07,8044,154.0,354.0,354.0,348.0,348.0,41.98,1.0,6.0
2016-04-08,8044,484.0,351.0,357.0,350.0,354.0,179.0,1.0,-41.0
2016-04-11,8044,334.0,355.0,356.5,348.5,349.0,67.0,48.0,1.0
2016-04-12,8044,325.0,350.0,352.5,339.0,342.5,56.0,21.0,-23.0
2016-04-13,8044,320.0,345.0,354.0,343.0,353.0,88.0,6.0,-18.0
2016-04-14,8044,757.0,355.0,360.0,348.0,359.5,139.66,78.0,0.0
2016-04-15,8044,342.0,359.5,359.5,351.0,359.0,45.13,27.0,-82.0
2016-04-18,8044,184.0,355.0,362.0,351.5,351.5,-19.96,6.0,-17.0
2016-04-19,8044,193.0,354.5,355.0,348.5,350.0,64.0,2.0,-20.0
2016-04-20,8044,258.0,354.5,354.5,341.0,345.0,-57.01,7.0,0.0
2016-04-21,8044,229.0,344.0,348.0,338.0,344.0,40.0,10.0,-4.0
2016-04-22,8044,251.0,344.0,346.5,338.0,338.5,41.0,13.0,0.0
2016-04-25,8044,299.0,350.0,353.5,345.0,350.0,180.0,8.0,-21.0
2016-04-26,8044,128.0,350.0,352.5,346.0,349.0,15.96,2.0,0.0
2016-04-27,8044,140.0,349.0,351.5,347.5,350.0,79.0,2.0,-22.0
2016-04-28,8044,235.0,350.5,355.0,346.5,346.5,-9.0,8.0,13.0
2016-04-29,8044,181.0,344.0,345.0,340.0,342.5,-10.9,4.0,-6.0
2016-05-03,8044,96.0,344.0,344.0,336.5,339.5,-10.8,4.0,4.0
2016-05-04,8044,272.0,335.0,340.0,332.5,332.5,-50.0,1.0,-3.0
2016-05-05,8044,274.0,339.0,339.0,333.5,334.5,131.0,3.0,-3.0
2016-05-06,8044,212.0,336.5,336.5,330.5,332.0,-34.61,0.0,28.0
2016-05-09,8044,253.0,329.0,335.0,327.0,330.0,87.0,15.0,-25.0
2016-05-10,8044,316.0,330.0,333.0,327.0,330.0,154.0,2.0,26.0
2016-05-11,8044,458.0,341.0,345.0,336.5,338.5,168.96,9.0,-13.0
2016-05-12,8044,187.0,338.5,340.0,336.0,339.5,97.0,12.0,-25.0
2016-05-13,8044,607.0,340.0,357.0,339.5,357.0,257.0,2.0,-71.0
2016-05-16,8044,489.0,354.5,365.0,350.5,362.0,151.33,39.0,-32.0
2016-05-17,8044,1090.0,367.0,379.5,363.5,379.5,395.0,45.0,-101.0
2016-05-18,8044,985.0,383.0,390.0,375.0,386.0,138.38,35.0,-17.0
2016-05-19,8044,318.0,386.0,386.0,378.0,380.5,118.52,21.0,-19.0
2016-05-20,8044,859.0,380.5,394.5,380.5,387.0,110.78,12.0,43.0
2016-05-23,8044,548.0,388.0,389.0,381.0,382.0,-77.0,14.0,-10.0
2016-05-24,8044,598.0,385.0,390.5,378.0,381.5,228.0,14.0,15.0
2016-05-25,8044,715.0,389.0,394.5,384.0,387.5,93.0,3.0,78.0
2016-05-26,8044,321.0,385.5,388.0,380.5,384.0,47.0,11.0,7.0
2016-05-27,8044,403.0,387.5,390.0,380.5,383.0,5.0,4.0,30.0
2016-05-30,8044,1450.0,383.5,418.0,381.0,397.0,165.0,10.0,-67.0
2016-05-31,8044,1134.0,396.5,396.5,385.0,390.0,45.0,85.0,91.0
2016-06-01,8044,733.0,389.0,396.0,382.0,382.0,-217.76,12.0,125.0
2016-06-02,8044,410.0,382.0,382.0,371.5,371.5,-15.0,6.0,3.0
2016-06-03,8044,549.0,372.0,375.0,360.5,362.5,-73.18,4.0,60.0
2016-06-04,8044,148.0,365.0,370.0,365.0,368.5,31.0,2.0,-3.0
2016-06-06,8044,236.0,370.0,371.0,361.5,365.0,2.61,9.0,19.0
2016-06-07,8044,110.0,365.0,370.0,365.0,369.0,2.0,1.0,-4.0
2016-06-08,8044,188.0,365.0,369.0,364.0,364.0,-32.0,2.0,-8.0
2016-06-13,8044,429.0,366.0,372.0,357.5,359.0,-126.0,7.0,17.0
2016-06-14,8044,195.0,360.0,363.0,357.0,362.0,-13.0,0.0,-21.0
2016-06-15,8044,194.0,362.0,365.5,359.0,359.0,-16.13,24.0,22.0
2016-06-16,8044,248.0,361.5,362.0,351.0,353.0,9.0,10.0,15.0
2016-06-17,8044,183.0,356.5,359.0,354.5,354.5,9.39,4.0,-2.0
2016-06-20,8044,287.0,356.0,364.0,356.0,361.0,62.24,1.0,-12.0
2016-06-21,8044,341.0,366.5,367.0,363.0,367.0,133.79,0.0,-7.0
2016-06-22,8044,261.0,367.0,367.0,362.0,362.0,-40.83,1.0,29.0
2016-06-23,8044,403.0,362.0,364.0,353.0,354.0,-78.0,3.0,31.0
2016-06-24,8044,428.0,354.0,356.0,336.0,342.5,-42.06,8.0,-31.0
2016-06-27,8044,258.0,341.0,349.0,339.5,345.5,83.0,1.0,18.0
2016-06-28,8044,495.0,345.5,346.0,338.5,342.0,17.59,3.0,33.0
2016-06-29,8044,531.0,345.0,360.5,345.0,358.5,275.25,7.0,-80.0
2016-06-30,8044,308.0,357.0,359.0,350.0,354.0,-10.45,12.0,50.0
2016-07-01,8044,325.0,357.0,357.5,346.5,347.0,-116.0,2.0,59.0
2016-07-04,8044,1053.0,344.0,345.5,330.5,332.0,-511.01,7.0,169.0
2016-07-05,8044,932.0,333.0,339.0,330.5,332.0,-14.0,2.0,50.0
2016-07-06,8044,826.0,333.0,336.5,331.0,333.0,-244.0,1.0,48.0
2016-07-07,8044,796.0,334.0,336.0,326.0,329.0,-167.0,9.0,11.0
2016-07-11,8044,571.0,335.0,339.0,333.0,338.0,-16.96,3.0,-49.0
