Time,Stock_ID,Volume,Open,High,Low,Close,Foreign_Net_Volume,Domestic_Net_Volume,Net_Margin
2016-01-04,2537,1079.74,9.07,9.35,8.99,9.12,-1.0,0.0,-13.0
2016-01-05,2537,306.98,9.05,9.27,9.0,9.1,-1.0,0.0,-51.0
2016-01-06,2537,171.04,9.1,9.1,8.9,9.08,0.0,0.0,2.0
2016-01-07,2537,572.03,9.0,9.19,8.77,8.98,1.0,0.0,-70.0
2016-01-08,2537,432.64,9.0,9.13,8.89,9.03,-2.0,6.0,54.0
2016-01-11,2537,413.4,8.8,8.99,8.79,8.99,-81.0,10.0,127.0
2016-01-12,2537,1342.34,9.06,9.1,8.4,8.45,9.0,11.0,-25.0
2016-01-13,2537,247.28,8.45,8.54,8.3,8.3,-7.0,3.0,-21.0
2016-01-14,2537,296.42,8.25,8.42,8.14,8.4,7.0,7.0,38.0
2016-01-15,2537,304.24,8.4,8.4,8.18,8.3,-5.0,6.0,-29.0
2016-01-18,2537,142.28,8.03,8.28,8.0,8.2,8.0,10.0,-1.0
2016-01-19,2537,132.7,8.2,8.26,8.2,8.26,0.0,8.0,-13.0
2016-01-20,2537,179.14,8.26,8.34,8.2,8.22,-4.0,2.0,27.0
2016-01-21,2537,77.28,8.13,8.2,8.12,8.13,0.0,0.0,23.0
2016-01-22,2537,187.8,8.19,8.23,8.1,8.14,-5.0,0.0,57.0
2016-01-25,2537,286.83,8.19,8.19,7.99,8.18,-3.0,1.0,104.0
2016-01-26,2537,100.32,8.07,8.1,8.03,8.03,-0.16,0.0,-18.0
2016-01-27,2537,254.8,8.0,8.09,7.98,8.07,0.0,5.0,8.0
2016-01-28,2537,106.08,8.01,8.22,8.0,8.22,-3.0,15.0,-2.0
2016-01-29,2537,154.4,8.06,8.23,8.06,8.22,1.0,7.0,-2.0
2016-01-30,2537,90.25,8.22,8.35,8.22,8.3,0.0,15.0,9.0
2016-02-01,2537,171.23,8.36,8.36,8.2,8.28,0.0,2.0,92.0
2016-02-02,2537,193.6,8.18,8.22,8.16,8.2,0.0,0.0,101.0
2016-02-03,2537,172.06,8.2,8.3,8.15,8.3,37.0,0.0,14.0
