Time,Stock_ID,Volume,Open,High,Low,Close,Foreign_Net_Volume,Domestic_Net_Volume,Net_Margin
2016-01-04,3050,109.27,8.5,8.5,8.36,8.41,-13.0,7.0,-21.0
2016-01-05,3050,371.0,8.38,8.63,8.31,8.51,0.0,31.0,160.0
2016-01-06,3050,363.0,8.6,8.74,8.51,8.51,-21.0,1.0,87.0
2016-01-07,3050,550.0,8.45,8.57,8.2,8.33,-31.0,1.0,296.0
2016-01-08,3050,119.52,8.33,8.46,8.3,8.37,20.0,1.0,31.0
2016-01-11,3050,461.45,8.4,8.47,8.1,8.1,-20.0,5.0,23.0
2016-01-12,3050,520.06,8.16,8.28,7.9,7.9,6.0,0.0,-84.0
2016-01-13,3050,469.33,7.95,8.05,7.8,7.8,12.0,0.0,-85.0
2016-01-14,3050,279.9,7.79,7.82,7.6,7.7,78.0,4.0,-80.0
2016-01-15,3050,297.01,7.84,7.84,7.6,7.6,3.0,5.0,78.0
2016-01-18,3050,186.02,7.52,7.74,7.52,7.74,19.0,0.0,-39.0
2016-01-19,3050,156.0,7.77,7.9,7.77,7.8,18.0,6.0,-11.0
2016-01-20,3050,148.0,7.85,7.85,7.7,7.75,0.0,0.0,-14.0
2016-01-21,3050,127.0,7.73,7.73,7.64,7.68,20.0,0.0,16.0
2016-01-22,3050,267.0,7.7,7.75,7.6,7.65,10.0,0.0,48.0
2016-01-25,3050,245.01,7.65,7.81,7.65,7.79,-16.0,16.0,80.0
2016-01-26,3050,210.03,7.75,7.79,7.69,7.7,-13.0,0.0,104.0
2016-01-27,3050,64.01,7.77,7.77,7.7,7.73,10.0,0.0,-3.0
2016-01-28,3050,113.01,7.7,7.79,7.69,7.78,23.0,0.0,21.0
2016-01-29,3050,250.13,7.81,7.88,7.76,7.81,-96.0,0.0,99.0
2016-01-30,3050,113.35,7.89,7.94,7.86,7.92,0.0,1.0,57.0
2016-02-01,3050,112.94,7.93,8.0,7.87,7.9,3.0,0.0,9.0
2016-02-02,3050,61.74,7.88,7.88,7.82,7.85,-8.0,0.0,-10.0
2016-02-03,3050,177.01,7.83,7.83,7.65,7.78,-9.0,0.0,2.0
2016-02-15,3050,76.02,7.77,7.81,7.56,7.56,0.0,0.0,-37.0
2016-02-16,3050,167.02,7.61,7.87,7.61,7.83,1.0,17.0,25.0
2016-02-17,3050,114.8,7.85,7.94,7.83,7.92,16.0,13.0,-9.0
2016-02-18,3050,236.0,7.98,7.98,7.85,7.85,10.0,0.0,16.0
2016-02-19,3050,91.0,7.91,7.91,7.8,7.88,-3.0,0.0,-30.0
2016-02-22,3050,89.01,7.85,7.98,7.85,7.97,16.0,0.0,36.0
2016-02-23,3050,243.24,8.01,8.16,8.01,8.13,52.0,1.0,-8.0
2016-02-24,3050,329.02,8.08,8.1,7.92,7.92,-48.0,3.0,-2.0
2016-02-25,3050,270.71,8.01,8.15,8.01,8.12,25.0,0.0,68.0
2016-02-26,3050,88.86,8.21,8.21,8.09,8.14,-17.0,0.0,0.0
2016-03-01,3050,359.5,8.14,8.2,8.06,8.09,63.0,1.0,10.0
2016-03-02,3050,348.02,8.09,8.17,8.09,8.14,21.0,0.0,-79.0
2016-03-03,3050,265.87,8.18,8.24,8.15,8.2,8.0,8.0,13.0
2016-03-04,3050,704.29,8.65,8.72,8.33,8.47,-26.0,28.0,-35.0
2016-03-07,3050,777.05,8.5,8.67,8.5,8.52,-46.0,3.0,-192.0
2016-03-08,3050,1337.54,8.49,8.98,8.49,8.8,-11.0,26.0,-52.0
2016-03-09,3050,1142.08,8.99,9.06,8.8,9.06,-98.0,7.0,-7.0
2016-03-10,3050,755.03,9.01,9.09,8.91,8.98,-39.0,3.0,113.0
2016-03-11,3050,1069.01,8.98,9.15,8.91,9.13,-246.0,4.0,142.0
2016-03-14,3050,1003.87,9.17,9.23,9.1,9.14,-95.0,0.0,274.0
2016-03-15,3050,1064.22,9.11,9.2,9.04,9.1,-96.0,7.0,270.0
2016-03-16,3050,1747.89,9.06,9.99,9.06,9.9,78.0,4.0,301.0
2016-03-17,3050,2993.84,9.88,10.45,9.75,10.05,-185.0,5.0,844.0
