Time,Stock_ID,Volume,Open,High,Low,Close,Foreign_Net_Volume,Domestic_Net_Volume,Net_Margin
2018-01-22,1796,1170.0,54.0,54.0,49.0,51.4,0.0,0.0,0.0
2018-01-23,1796,433.0,51.4,52.1,49.5,50.6,0.0,0.0,0.0
2018-01-24,1796,217.0,50.6,50.6,49.4,49.8,0.0,0.0,0.0
2018-01-25,1796,227.0,49.3,49.4,46.5,47.15,0.0,0.0,0.0
2018-01-26,1796,138.0,47.15,49.5,47.15,49.2,0.0,0.0,0.0
2018-01-29,1796,99.0,49.4,50.0,48.2,48.95,0.0,0.0,0.0
2018-01-30,1796,77.0,48.95,48.95,47.1,48.5,0.0,0.0,0.0
2018-01-31,1796,33.0,48.95,48.95,47.0,48.0,0.0,0.0,0.0
2018-02-01,1796,35.0,48.9,48.9,47.5,47.6,0.0,0.0,0.0
2018-02-02,1796,133.0,48.4,49.9,48.0,48.5,0.0,0.0,0.0
2018-02-05,1796,187.0,47.85,50.0,47.1,49.5,0.0,0.0,0.0
2018-02-06,1796,184.0,48.6,49.0,48.0,48.1,0.0,0.0,0.0
2018-02-07,1796,85.0,49.5,49.55,48.8,49.05,0.0,0.0,0.0
2018-02-08,1796,72.0,49.0,49.05,49.0,49.05,0.0,0.0,0.0
2018-02-09,1796,77.0,48.0,48.8,48.0,48.45,0.0,0.0,0.0
2018-02-12,1796,24.0,49.2,49.5,49.0,49.5,0.0,0.0,0.0
2018-02-21,1796,82.0,50.0,51.5,49.2,50.6,3.0,0.0,0.0
2018-02-22,1796,78.0,49.35,50.7,49.35,50.5,2.0,0.0,0.0
2018-02-23,1796,141.0,51.0,54.5,50.1,52.8,5.0,0.0,0.0
2018-02-26,1796,368.0,52.7,58.0,52.2,57.9,-3.0,0.0,0.0
2018-02-27,1796,277.0,55.2,56.6,53.9,54.9,-1.0,0.0,0.0
2018-03-01,1796,65.0,54.0,57.0,54.0,55.7,-1.0,0.0,0.0
2018-03-02,1796,76.0,55.2,58.0,55.1,56.9,-4.0,0.0,0.0
2018-03-05,1796,118.0,56.5,58.9,56.5,56.6,-1.0,0.0,0.0
2018-03-06,1796,148.0,56.6,57.8,55.9,55.9,0.0,0.0,0.0
2018-03-07,1796,53.0,56.3,57.0,55.8,56.8,0.0,0.0,0.0
2018-03-08,1796,40.0,57.6,57.8,56.2,56.2,0.0,0.0,0.0
2018-03-09,1796,146.0,57.3,57.3,53.5,53.8,1.0,0.0,0.0
2018-03-12,1796,98.0,54.9,56.5,54.9,56.2,5.0,0.0,0.0
2018-03-13,1796,12.0,55.2,56.0,55.2,56.0,0.0,0.0,0.0
2018-03-14,1796,45.0,55.5,56.0,55.1,55.2,0.0,0.0,0.0
2018-03-15,1796,12.0,55.9,55.9,55.1,55.1,-1.0,0.0,0.0
2018-03-16,1796,59.0,55.0,55.0,54.2,54.5,0.0,0.0,0.0
2018-03-19,1796,137.0,55.3,59.0,55.3,56.7,0.0,0.0,0.0
2018-03-20,1796,69.0,55.6,57.0,55.6,57.0,0.0,0.0,0.0
2018-03-21,1796,448.0,57.9,62.7,57.9,62.7,1.0,0.0,0.0
2018-03-22,1796,398.0,64.3,65.7,62.5,63.0,-5.0,0.0,0.0
2018-03-23,1796,144.0,60.0,61.8,59.2,60.2,0.0,0.0,0.0
2018-03-26,1796,171.0,60.1,61.5,60.0,61.4,-1.0,0.0,0.0
2018-03-27,1796,97.0,62.8,62.8,61.6,62.0,0.0,0.0,0.0
2018-03-28,1796,68.0,61.2,62.5,61.2,61.8,1.0,0.0,0.0
2018-03-29,1796,51.0,62.0,62.5,61.4,62.0,0.0,0.0,0.0
2018-03-30,1796,72.0,62.0,63.9,62.0,62.6,0.0,0.0,0.0
2018-03-31,1796,71.0,62.5,63.0,62.5,62.7,0.0,0.0,0.0
2018-04-02,1796,198.0,62.5,68.0,62.5,67.9,12.0,0.0,0.0
2018-04-03,1796,210.0,65.2,69.0,65.2,66.9,-10.0,0.0,0.0
2018-04-09,1796,196.0,66.9,71.9,66.9,69.3,1.0,0.0,0.0
2018-04-10,1796,246.0,69.3,71.5,69.3,70.1,-4.0,0.0,0.0
2018-04-11,1796,164.0,71.0,72.5,71.0,71.9,7.0,0.0,0.0
2018-04-12,1796,108.0,73.0,73.1,71.8,72.9,1.0,0.0,0.0
2018-04-13,1796,222.0,73.9,80.0,72.9,77.7,2.0,0.0,0.0
2018-04-16,1796,165.0,78.0,82.0,78.0,80.8,-9.0,0.0,0.0
2018-04-17,1796,117.0,82.0,82.0,77.8,78.2,0.0,0.0,0.0
2018-04-18,1796,113.0,78.2,79.9,77.4,78.1,3.0,0.0,0.0
2018-04-19,1796,112.0,77.3,77.5,76.0,76.5,11.0,0.0,0.0
2018-04-20,1796,214.0,76.0,76.0,72.0,73.1,9.0,0.0,0.0
2018-04-23,1796,168.0,71.5,72.0,70.1,70.2,14.0,0.0,0.0
2018-04-24,1796,127.0,70.2,73.5,70.1,73.5,-1.0,0.0,0.0
2018-04-25,1796,42.0,73.5,73.5,72.6,73.2,8.0,0.0,0.0
2018-04-26,1796,77.0,72.7,72.7,70.1,70.1,0.0,0.0,0.0
2018-04-27,1796,74.0,70.0,73.4,70.0,73.2,13.0,0.0,0.0
2018-04-30,1796,28.0,74.7,75.0,73.4,74.3,5.0,0.0,0.0
2018-05-02,1796,37.0,74.3,74.3,72.6,73.5,-4.0,0.0,0.0
2018-05-03,1796,4.0,73.4,73.4,72.0,72.0,0.0,0.0,0.0
2018-05-04,1796,42.0,70.7,71.0,70.1,70.5,-2.0,0.0,0.0
2018-05-07,1796,44.0,71.0,72.0,70.2,72.0,-1.0,0.0,0.0
2018-05-08,1796,21.0,72.5,73.0,72.5,72.5,-2.0,0.0,0.0
