Time,Stock_ID,Volume,Open,High,Low,Close,Foreign_Net_Volume,Domestic_Net_Volume,Net_Margin
2016-01-04,2476,69.31,21.8,21.95,21.55,21.55,-9.0,0.0,-1.0
2016-01-05,2476,468.42,21.2,21.55,21.2,21.55,129.0,0.0,-286.0
2016-01-06,2476,232.74,21.65,21.75,21.4,21.6,49.0,0.0,-115.0
2016-01-07,2476,283.8,21.5,21.7,21.1,21.3,4.11,0.0,-8.0
2016-01-08,2476,90.69,21.2,21.65,21.0,21.45,42.0,0.0,-2.0
2016-01-11,2476,384.02,21.35,22.1,21.35,21.75,81.0,10.0,-1.0
2016-01-12,2476,162.97,21.85,21.85,21.3,21.3,30.0,0.0,-9.0
2016-01-13,2476,54.6,21.35,21.45,21.2,21.25,8.0,0.0,8.0
2016-01-14,2476,191.44,21.2,21.2,20.95,21.1,6.51,0.0,14.0
2016-01-15,2476,150.2,21.2,21.3,21.1,21.1,13.0,0.0,-4.0
2016-01-18,2476,172.25,20.7,21.35,20.7,21.3,28.0,0.0,26.0
2016-01-19,2476,485.2,21.35,22.35,21.35,22.3,84.0,9.0,44.0
2016-01-20,2476,273.02,22.0,22.0,21.55,21.65,48.0,0.0,-60.0
2016-01-21,2476,132.0,21.95,21.95,21.45,21.65,25.0,0.0,-8.0
2016-01-22,2476,53.47,21.6,21.85,21.5,21.65,8.0,0.0,-3.0
2016-01-25,2476,148.72,21.7,22.15,21.7,22.0,45.0,0.0,-8.0
2016-01-26,2476,195.71,21.8,21.95,21.8,21.85,51.0,1.0,-13.0
2016-01-27,2476,61.37,22.0,22.0,21.75,21.85,23.0,0.0,-1.0
2016-01-28,2476,120.75,21.85,21.95,21.8,21.9,28.0,0.0,-8.0
2016-01-29,2476,146.04,21.85,22.15,21.8,21.95,38.0,0.0,18.0
2016-01-30,2476,105.51,21.95,22.1,21.9,22.05,0.0,0.0,3.0
2016-02-01,2476,225.22,22.1,22.2,22.0,22.2,27.0,0.0,-9.0
2016-02-02,2476,167.25,22.1,22.2,21.95,22.2,23.0,0.0,-1.0
2016-02-03,2476,148.14,22.05,22.15,21.95,22.0,10.0,0.0,-39.0
2016-02-15,2476,175.33,21.9,22.0,21.75,21.75,-29.0,0.0,-7.0
2016-02-16,2476,430.35,21.75,21.9,21.75,21.75,-55.0,0.0,13.0
2016-02-17,2476,113.15,21.9,21.9,21.75,21.9,-3.0,0.0,24.0
2016-02-18,2476,329.64,22.0,22.4,22.0,22.3,-65.42,0.0,16.0
2016-02-19,2476,2698.05,22.45,24.5,22.45,24.5,277.0,11.0,454.0
2016-02-22,2476,961.86,24.45,24.45,23.6,24.0,-194.0,0.0,-58.0
2016-02-23,2476,738.78,23.9,24.85,23.8,24.2,50.0,0.0,66.0
2016-02-24,2476,693.86,24.2,24.95,23.9,24.35,-23.0,0.0,72.0
2016-02-25,2476,602.08,24.35,24.5,23.7,24.0,9.0,0.0,-155.0
2016-02-26,2476,300.65,24.0,24.25,23.85,24.15,-52.64,0.0,-46.0
2016-03-01,2476,238.46,24.1,24.35,23.9,24.15,-11.0,0.0,-41.0
2016-03-02,2476,199.6,24.3,24.4,24.05,24.2,-17.0,0.0,-29.0
2016-03-03,2476,181.41,24.3,24.35,24.05,24.15,-3.0,0.0,-27.0
2016-03-04,2476,204.21,24.15,24.25,24.0,24.15,10.0,0.0,-30.0
2016-03-07,2476,167.51,24.35,24.4,24.1,24.3,3.0,0.0,-21.0
2016-03-08,2476,229.6,24.3,24.5,24.05,24.15,-33.0,0.0,22.0
2016-03-09,2476,225.16,24.2,24.2,23.9,24.1,-3.0,0.0,-8.0
2016-03-10,2476,283.65,24.1,24.3,24.05,24.3,11.0,0.0,-31.0
2016-03-11,2476,124.39,24.25,24.3,24.1,24.2,9.0,0.0,-3.0
2016-03-14,2476,271.33,24.2,24.55,24.15,24.35,-3.93,0.0,-11.0
2016-03-15,2476,590.18,24.25,24.35,23.15,23.35,-20.0,0.0,-69.0
2016-03-16,2476,301.74,23.6,24.25,23.6,24.05,67.61,0.0,-32.0
2016-03-17,2476,218.64,24.15,24.3,23.95,23.95,-13.0,0.0,-33.0
2016-03-18,2476,75.51,23.95,24.2,23.95,24.05,0.47,0.0,5.0
2016-03-21,2476,258.76,24.35,24.4,24.05,24.3,25.0,0.0,12.0
2016-03-22,2476,488.86,24.3,24.95,24.05,24.45,39.0,1.0,-29.0
2016-03-23,2476,229.33,24.5,24.5,24.2,24.3,6.0,0.0,-62.0
2016-03-24,2476,166.1,24.1,24.45,24.0,24.3,-9.0,0.0,-15.0
2016-03-25,2476,142.82,24.5,24.55,24.2,24.25,24.0,0.0,-18.0
2016-03-28,2476,125.63,24.25,24.45,24.15,24.25,-3.0,0.0,-12.0
2016-03-29,2476,198.95,24.1,24.1,23.85,23.9,36.0,0.0,-56.0
2016-03-30,2476,53.81,23.8,24.05,23.8,24.05,-9.0,0.0,-3.0
2016-03-31,2476,56.52,24.05,24.15,24.0,24.05,-4.0,1.0,16.0
2016-04-01,2476,79.8,23.9,24.05,23.9,24.05,7.0,0.0,-20.0
2016-04-06,2476,200.47,23.95,24.0,23.65,23.95,-16.0,1.0,-25.0
2016-04-07,2476,54.74,23.95,23.95,23.7,23.7,-14.0,0.0,-15.0
2016-04-08,2476,84.28,23.7,23.8,23.55,23.6,1.0,0.0,-33.0
2016-04-11,2476,82.97,23.6,23.8,23.6,23.65,19.0,0.0,-11.0
2016-04-12,2476,156.01,23.7,23.85,23.55,23.55,-37.0,0.0,0.0
2016-04-13,2476,172.7,23.65,23.85,23.4,23.8,-77.0,0.0,-11.0
2016-04-14,2476,57.32,23.85,23.85,23.7,23.75,-20.0,0.0,-11.0
2016-04-15,2476,268.77,23.8,24.45,23.65,24.1,-74.0,1.0,36.0
2016-04-18,2476,305.74,23.7,23.7,23.5,23.5,-79.0,0.0,-94.0
2016-04-19,2476,122.6,23.6,23.8,23.45,23.5,-19.0,6.0,3.0
2016-04-20,2476,63.74,23.55,23.6,23.4,23.45,-33.0,0.0,-19.0
2016-04-21,2476,105.26,23.5,23.75,23.3,23.45,5.0,1.0,-26.0
2016-04-22,2476,133.1,23.5,23.5,23.2,23.25,-30.0,0.0,-18.0
2016-04-25,2476,72.0,23.2,23.25,23.1,23.15,-28.0,0.0,3.0
2016-04-26,2476,25.48,23.0,23.3,23.0,23.2,-4.0,0.0,-8.0
2016-04-27,2476,60.86,23.2,23.2,23.05,23.1,-8.0,0.0,0.0
2016-04-28,2476,205.03,23.05,23.15,22.75,22.8,-30.0,0.0,15.0
2016-04-29,2476,107.4,22.8,22.85,22.5,22.55,3.0,0.0,9.0
2016-05-03,2476,90.13,22.5,22.65,22.5,22.6,-26.0,0.0,10.0
2016-05-04,2476,44.24,22.35,22.5,22.3,22.4,-9.0,0.0,-5.0
2016-05-05,2476,114.96,22.35,22.4,22.2,22.4,11.0,0.0,-12.0
2016-05-06,2476,52.0,22.45,22.45,22.1,22.25,-9.0,0.0,0.0
2016-05-09,2476,100.16,22.25,22.25,21.95,21.95,-29.0,0.0,-1.0
2016-05-10,2476,163.11,22.5,22.5,22.0,22.15,21.0,2.0,18.0
2016-05-11,2476,79.78,22.3,22.35,22.2,22.3,-15.0,0.0,4.0
2016-05-12,2476,116.77,22.1,22.15,22.0,22.0,-6.0,0.0,-1.0
2016-05-13,2476,113.73,22.0,22.0,21.75,21.9,-7.0,0.0,3.0
2016-05-16,2476,88.35,22.0,22.2,22.0,22.1,-36.38,0.0,5.0
2016-05-17,2476,66.58,22.65,22.65,22.2,22.4,-17.0,0.0,17.0
2016-05-18,2476,30.07,22.2,22.35,22.1,22.3,2.0,0.0,2.0
2016-05-19,2476,76.48,22.35,22.35,22.05,22.1,-4.0,0.0,1.0
2016-05-20,2476,33.53,22.15,22.2,22.0,22.2,-6.0,0.0,0.0
2016-05-23,2476,94.55,22.2,22.6,22.2,22.5,9.0,0.0,16.0
2016-05-24,2476,16.25,22.55,22.55,22.4,22.4,-8.0,0.0,0.0
2016-05-25,2476,86.0,22.7,22.8,22.55,22.6,-19.0,0.0,5.0
2016-05-26,2476,131.68,22.65,22.65,22.3,22.4,-60.0,0.0,22.0
2016-05-27,2476,51.17,22.5,22.6,22.4,22.55,-10.0,0.0,34.0
2016-05-30,2476,52.0,22.55,22.6,22.5,22.55,-15.0,0.0,4.0
2016-05-31,2476,37.51,22.7,22.75,22.55,22.55,-7.0,0.0,0.0
2016-06-01,2476,98.1,22.55,22.55,22.4,22.5,1.0,0.0,-3.0
2016-06-02,2476,217.73,22.5,22.6,22.4,22.5,-1.44,0.0,7.0
2016-06-03,2476,132.74,22.5,22.5,22.45,22.5,-54.0,0.0,-8.0
2016-06-04,2476,39.0,22.5,22.5,22.45,22.5,0.0,0.0,-11.0
2016-06-06,2476,160.0,22.4,22.55,22.4,22.4,-71.0,0.0,-5.0
2016-06-07,2476,175.17,22.5,22.6,22.35,22.5,-59.0,0.0,-1.0
2016-06-08,2476,183.45,22.55,22.65,22.45,22.5,-66.0,0.0,-23.0
2016-06-13,2476,319.95,22.45,22.65,22.4,22.4,-151.0,0.0,19.0
2016-06-14,2476,125.47,22.45,22.55,22.4,22.5,-46.0,0.0,12.0
2016-06-15,2476,301.9,22.55,22.55,22.4,22.5,-219.0,0.0,25.0
2016-06-16,2476,88.1,22.6,22.6,22.5,22.5,-14.21,0.0,7.0
2016-06-17,2476,805.91,22.9,23.45,22.9,22.9,-212.0,1.0,105.0
2016-06-20,2476,163.44,23.0,23.1,23.0,23.0,-27.0,0.0,19.0
